gsw_path,s1_path,block_id,group_id,window_index,window,water,not_water,no_data,dataset
gs://surface-water-public/data/v1/jrc/africa/GSW_lon_32d1133595477_lat_-23d9087153653-201505.tif,gs://surface-water-public/data/v1/sentinel_1/africa/GSW_lon_32d1133595477_lat_-23d9087153653-201505.tif,block_32_-23,group_32.11_-23.91,2,"(192, 0, 192, 192)",0.3295627170138889,0.6704372829861112,0.0,africa
gs://surface-water-public/data/v1/jrc/africa/GSW_lon_32d1133595477_lat_-23d9087153653-201505.tif,gs://surface-water-public/data/v1/sentinel_1/africa/GSW_lon_32d1133595477_lat_-23d9087153653-201505.tif,block_32_-23,group_32.11_-23.91,3,"(192, 192, 192, 192)",0.020751953125,0.979248046875,0.0,africa
gs://surface-water-public/data/v1/jrc/africa/GSW_lon_34d1361983603_lat_12d5285574712-201501.tif,gs://surface-water-public/data/v1/sentinel_1/africa/GSW_lon_34d1361983603_lat_12d5285574712-201501.tif,block_34_12,group_34.14_12.53,3,"(192, 192, 192, 192)",0.1515570746527778,0.8451877170138888,0.0032552083333333335,africa
gs://surface-water-public/data/v1/jrc/africa/GSW_lon_29d6211432227_lat_-25d8025503298-201504.tif,gs://surface-water-public/data/v1/sentinel_1/africa/GSW_lon_29d6211432227_lat_-25d8025503298-201504.tif,block_29_-25,group_29.62_-25.8,0,"(0, 0, 192, 192)",0.008978949652777778,0.9910210503472222,0.0,africa
gs://surface-water-public/data/v1/jrc/africa/GSW_lon_29d6211432227_lat_-25d8025503298-201504.tif,gs://surface-water-public/data/v1/sentinel_1/africa/GSW_lon_29d6211432227_lat_-25d8025503298-201504.tif,block_29_-25,group_29.62_-25.8,3,"(192, 192, 192, 192)",0.011962890625,0.988037109375,0.0,africa
gs://surface-water-public/data/v1/jrc/africa/GSW_lon_26d8419719237_lat_-15d6308779104-201508.tif,gs://surface-water-public/data/v1/sentinel_1/africa/GSW_lon_26d8419719237_lat_-15d6308779104-201508.tif,block_26_-15,group_26.84_-15.63,0,"(0, 0, 192, 192)",0.1545681423611111,0.8449435763888888,0.00048828125,africa
gs://surface-water-public/data/v1/jrc/africa/GSW_lon_26d8419719237_lat_-15d6308779104-201508.tif,gs://surface-water-public/data/v1/sentinel_1/africa/GSW_lon_26d8419719237_lat_-15d6308779104-201508.tif,block_26_-15,group_26.84_-15.63,1,"(0, 192, 192, 192)",0.076416015625,0.923583984375,0.0,africa
gs://surface-water-public/data/v1/jrc/africa/GSW_lon_26d8419719237_lat_-15d6308779104-201508.tif,gs://surface-water-public/data/v1/sentinel_1/africa/GSW_lon_26d8419719237_lat_-15d6308779104-201508.tif,block_26_-15,group_26.84_-15.63,2,"(192, 0, 192, 192)",0.08211263020833333,0.9178873697916666,0.0,africa
gs://surface-water-public/data/v1/jrc/africa/GSW_lon_26d8419719237_lat_-15d6308779104-201508.tif,gs://surface-water-public/data/v1/sentinel_1/africa/GSW_lon_26d8419719237_lat_-15d6308779104-201508.tif,block_26_-15,group_26.84_-15.63,3,"(192, 192, 192, 192)",0.007161458333333333,0.9928385416666666,0.0,africa
gs://surface-water-public/data/v1/jrc/africa/GSW_lon_-8d7514762807_lat_11d5998134259-201512.tif,gs://surface-water-public/data/v1/sentinel_1/africa/GSW_lon_-8d7514762807_lat_11d5998134259-201512.tif,block_-8_11,group_-8.75_11.6,1,"(0, 192, 192, 192)",0.2343478732638889,0.7656521267361112,0.0,africa
gs://surface-water-public/data/v1/jrc/africa/GSW_lon_-8d7514762807_lat_11d5998134259-201512.tif,gs://surface-water-public/data/v1/sentinel_1/africa/GSW_lon_-8d7514762807_lat_11d5998134259-201512.tif,block_-8_11,group_-8.75_11.6,2,"(192, 0, 192, 192)",0.3247341579861111,0.6745334201388888,0.000732421875,africa
gs://surface-water-public/data/v1/jrc/africa/GSW_lon_-8d7514762807_lat_11d5998134259-201512.tif,gs://surface-water-public/data/v1/sentinel_1/africa/GSW_lon_-8d7514762807_lat_11d5998134259-201512.tif,block_-8_11,group_-8.75_11.6,3,"(192, 192, 192, 192)",0.09629991319444445,0.9037000868055556,0.0,africa
gs://surface-water-public/data/v1/jrc/africa/GSW_lon_27d6883794803_lat_-7d0466102002-201504.tif,gs://surface-water-public/data/v1/sentinel_1/africa/GSW_lon_27d6883794803_lat_-7d0466102002-201504.tif,block_27_-7,group_27.69_-7.05,2,"(192, 0, 192, 192)",0.19002278645833334,0.8060709635416666,0.00390625,africa
gs://surface-water-public/data/v1/jrc/africa/GSW_lon_27d6883794803_lat_-7d0466102002-201504.tif,gs://surface-water-public/data/v1/sentinel_1/africa/GSW_lon_27d6883794803_lat_-7d0466102002-201504.tif,block_27_-7,group_27.69_-7.05,3,"(192, 192, 192, 192)",0.2227105034722222,0.7719997829861112,0.005289713541666667,africa
gs://surface-water-public/data/v1/jrc/africa/GSW_lon_23d2453832539_lat_-4d8043122831-201504.tif,gs://surface-water-public/data/v1/sentinel_1/africa/GSW_lon_23d2453832539_lat_-4d8043122831-201504.tif,block_23_-4,group_23.25_-4.8,3,"(192, 192, 192, 192)",0.04481336805555555,0.9551866319444444,0.0,africa
gs://surface-water-public/data/v1/jrc/africa/GSW_lon_32d4365306704_lat_-26d1204898998-201505.tif,gs://surface-water-public/data/v1/sentinel_1/africa/GSW_lon_32d4365306704_lat_-26d1204898998-201505.tif,block_32_-26,group_32.44_-26.12,3,"(192, 192, 192, 192)",0.047661675347222224,0.9498969184027778,0.00244140625,africa
gs://surface-water-public/data/v1/jrc/africa/GSW_lon_33d7740786456_lat_-24d2360613752-201511.tif,gs://surface-water-public/data/v1/sentinel_1/africa/GSW_lon_33d7740786456_lat_-24d2360613752-201511.tif,block_33_-24,group_33.77_-24.24,0,"(0, 0, 192, 192)",0.062174479166666664,0.9378255208333334,0.0,africa
