gsw_path,s1_path,block_id,group_id,water,not_water,no_data,dataset
gs://surface-water-public/data/v1/jrc/africa/GSW_lon_32d2670824869_lat_-27d0111450608-201505.tif,gs://surface-water-public/data/v1/sentinel_1/africa/S1_lon_32d2670824869_lat_-27d0111450608-201505.tif,block_32_-27,group_32.27_-27.01,0.017353057861328125,0.9822425842285156,0.00040435791015625,africa
gs://surface-water-public/data/v1/jrc/africa/GSW_lon_32d1133595477_lat_-23d9087153653-201505.tif,gs://surface-water-public/data/v1/sentinel_1/africa/S1_lon_32d1133595477_lat_-23d9087153653-201505.tif,block_32_-23,group_32.11_-23.91,0.17629623413085938,0.8236808776855469,2.288818359375e-05,africa
gs://surface-water-public/data/v1/jrc/africa/GSW_lon_34d1361983603_lat_12d5285574712-201501.tif,gs://surface-water-public/data/v1/sentinel_1/africa/S1_lon_34d1361983603_lat_12d5285574712-201501.tif,block_34_12,group_34.14_12.53,0.060382843017578125,0.9382095336914062,0.001407623291015625,africa
gs://surface-water-public/data/v1/jrc/africa/GSW_lon_29d6211432227_lat_-25d8025503298-201504.tif,gs://surface-water-public/data/v1/sentinel_1/africa/S1_lon_29d6211432227_lat_-25d8025503298-201504.tif,block_29_-25,group_29.62_-25.8,0.0213623046875,0.9786376953125,0.0,africa
gs://surface-water-public/data/v1/jrc/africa/GSW_lon_26d8419719237_lat_-15d6308779104-201508.tif,gs://surface-water-public/data/v1/sentinel_1/africa/S1_lon_26d8419719237_lat_-15d6308779104-201508.tif,block_26_-15,group_26.84_-15.63,0.058315277099609375,0.9416160583496094,6.866455078125e-05,africa
gs://surface-water-public/data/v1/jrc/africa/GSW_lon_-3d3938590280_lat_34d8349619799-201502.tif,gs://surface-water-public/data/v1/sentinel_1/africa/S1_lon_-3d3938590280_lat_34d8349619799-201502.tif,block_-3_34,group_-3.39_34.83,0.00966644287109375,0.9902076721191406,0.000125885009765625,africa
gs://surface-water-public/data/v1/jrc/africa/GSW_lon_-8d7514762807_lat_11d5998134259-201512.tif,gs://surface-water-public/data/v1/sentinel_1/africa/S1_lon_-8d7514762807_lat_11d5998134259-201512.tif,block_-8_11,group_-8.75_11.6,0.13755035400390625,0.8621864318847656,0.000263214111328125,africa
gs://surface-water-public/data/v1/jrc/africa/GSW_lon_27d6883794803_lat_-7d0466102002-201504.tif,gs://surface-water-public/data/v1/sentinel_1/africa/S1_lon_27d6883794803_lat_-7d0466102002-201504.tif,block_27_-7,group_27.69_-7.05,0.07953643798828125,0.918701171875,0.00176239013671875,africa
gs://surface-water-public/data/v1/jrc/africa/GSW_lon_23d2453832539_lat_-4d8043122831-201504.tif,gs://surface-water-public/data/v1/sentinel_1/africa/S1_lon_23d2453832539_lat_-4d8043122831-201504.tif,block_23_-4,group_23.25_-4.8,0.0654296875,0.9345703125,0.0,africa
gs://surface-water-public/data/v1/jrc/africa/GSW_lon_23d6628776869_lat_-29d9658125806-201503.tif,gs://surface-water-public/data/v1/sentinel_1/africa/S1_lon_23d6628776869_lat_-29d9658125806-201503.tif,block_23_-29,group_23.66_-29.97,0.008758544921875,0.991241455078125,0.0,africa
gs://surface-water-public/data/v1/jrc/africa/GSW_lon_32d4365306704_lat_-26d1204898998-201505.tif,gs://surface-water-public/data/v1/sentinel_1/africa/S1_lon_32d4365306704_lat_-26d1204898998-201505.tif,block_32_-26,group_32.44_-26.12,0.013622283935546875,0.9858055114746094,0.00057220458984375,africa
gs://surface-water-public/data/v1/jrc/africa/GSW_lon_33d7740786456_lat_-24d2360613752-201511.tif,gs://surface-water-public/data/v1/sentinel_1/africa/S1_lon_33d7740786456_lat_-24d2360613752-201511.tif,block_33_-24,group_33.77_-24.24,0.0087432861328125,0.9912567138671875,0.0,africa
gs://surface-water-public/data/v1/jrc/africa/GSW_lon_26d4594736757_lat_-27d2090793296-201507.tif,gs://surface-water-public/data/v1/sentinel_1/africa/S1_lon_26d4594736757_lat_-27d2090793296-201507.tif,block_26_-27,group_26.46_-27.21,0.0238800048828125,0.9736251831054688,0.00249481201171875,africa
gs://surface-water-public/data/v1/jrc/africa/GSW_lon_5d9536709185_lat_34d1810718440-201508.tif,gs://surface-water-public/data/v1/sentinel_1/africa/S1_lon_5d9536709185_lat_34d1810718440-201508.tif,block_5_34,group_5.95_34.18,0.046855926513671875,0.9531440734863281,0.0,africa
gs://surface-water-public/data/v1/jrc/africa/GSW_lon_0d1588078241_lat_8d2472808330-201511.tif,gs://surface-water-public/data/v1/sentinel_1/africa/S1_lon_0d1588078241_lat_8d2472808330-201511.tif,block_0_8,group_0.16_8.25,0.24827957153320312,0.7517204284667969,0.0,africa
gs://surface-water-public/data/v1/jrc/africa/GSW_lon_-6d6941689027_lat_30d9619539035-201505.tif,gs://surface-water-public/data/v1/sentinel_1/africa/S1_lon_-6d6941689027_lat_30d9619539035-201505.tif,block_-6_30,group_-6.69_30.96,0.092803955078125,0.907196044921875,0.0,africa
