year,month,aoi,crs,block_id,group_id,lat,lon,water,not_water,no_data,water_score,timestamp,lat_id,lon_id,tile_id,gsw_path,s1_path,water_tag,data_split
2015,7,africa_mtn,EPSG:32735,block_28_-29,group_28.45_-29.23,-29.23328399658203,28.44791412353516,0.06415176391601562,0.9358139038085938,3.4332275390625e-05,0.0517645999789238,1435708817408.0,lat_-29.2332844708,lon_28.4479147679,lon_28d4479147679_lat_-29d2332844708-201507,gs://surface-water-public/data/v1/jrc/africa_mtn/GSW_lon_28d4479147679_lat_-29d2332844708-201507.tif,gs://surface-water-public/data/v1/sentinel_1/africa_mtn/S1_lon_28d4479147679_lat_-29d2332844708-201507.tif,medium,train
2015,3,africa,EPSG:32734,block_18_-34,group_18.49_-34.05,-34.048683166503906,18.487842559814453,0.07062149047851562,0.9274559020996094,0.001922607421875,0.04953897744417191,1425168007168.0,lat_-34.0486821350,lon_18.4878430779,lon_18d4878430779_lat_-34d0486821350-201503,gs://surface-water-public/data/v1/jrc/africa/GSW_lon_18d4878430779_lat_-34d0486821350-201503.tif,gs://surface-water-public/data/v1/sentinel_1/africa/S1_lon_18d4878430779_lat_-34d0486821350-201503.tif,medium,train
2015,1,africa,EPSG:32636,block_35_11,group_34.80_11.24,11.24251651763916,34.804656982421875,0.09648513793945312,0.9035148620605468,0.0,0.09742766618728638,1420070354944.0,lat_11.2425162031,lon_34.8046572640,lon_34d8046572640_lat_11d2425162031-201501,gs://surface-water-public/data/v1/jrc/africa/GSW_lon_34d8046572640_lat_11d2425162031-201501.tif,gs://surface-water-public/data/v1/sentinel_1/africa/S1_lon_34d8046572640_lat_11d2425162031-201501.tif,medium,train
2015,7,africa_mtn,EPSG:32734,block_19_-33,group_19.27_-33.33,-33.33127975463867,19.27301788330078,0.0146026611328125,0.9851646423339844,0.000232696533203125,0.013989613391458988,1435708817408.0,lat_-33.3312784930,lon_19.2730174367,lon_19d2730174367_lat_-33d3312784930-201507,gs://surface-water-public/data/v1/jrc/africa_mtn/GSW_lon_19d2730174367_lat_-33d3312784930-201507.tif,gs://surface-water-public/data/v1/sentinel_1/africa_mtn/S1_lon_19d2730174367_lat_-33d3312784930-201507.tif,medium,train
2015,11,africa,EPSG:32735,block_29_-27,group_29.14_-26.54,-26.53740119934082,29.137882232666016,0.10131454467773438,0.8967094421386719,0.00197601318359375,0.111886627972126,1446336004096.0,lat_-26.5374013688,lon_29.1378817164,lon_29d1378817164_lat_-26d5374013688-201511,gs://surface-water-public/data/v1/jrc/africa_small/GSW_lon_29d1378817164_lat_-26d5374013688-201511.tif,gs://surface-water-public/data/v1/sentinel_1/africa_small/S1_lon_29d1378817164_lat_-26d5374013688-201511.tif,medium,train
2015,12,africa_mtn,EPSG:32736,block_32_-28,group_32.42_-28.35,-28.34808349609375,32.419952392578125,0.12844085693359375,0.8629264831542969,0.008632659912109375,0.10875259339809418,1448927952896.0,lat_-28.3480830779,lon_32.4199529826,lon_32d4199529826_lat_-28d3480830779-201512,gs://surface-water-public/data/v1/jrc/africa_mtn/GSW_lon_32d4199529826_lat_-28d3480830779-201512.tif,gs://surface-water-public/data/v1/sentinel_1/africa_mtn/S1_lon_32d4199529826_lat_-28d3480830779-201512.tif,medium,train
2015,1,africa,EPSG:32636,block_31_29,group_30.87_28.62,28.62016296386719,30.873350143432614,0.02315902709960937,0.9757194519042968,0.00112152099609375,0.010022861883044245,1420070354944.0,lat_28.6201622073,lon_30.8733502797,lon_30d8733502797_lat_28d6201622073-201501,gs://surface-water-public/data/v1/jrc/africa/GSW_lon_30d8733502797_lat_28d6201622073-201501.tif,gs://surface-water-public/data/v1/sentinel_1/africa/S1_lon_30d8733502797_lat_28d6201622073-201501.tif,medium,train
2015,1,africa,EPSG:32633,block_16_9,group_16.29_9.35,9.352014541625977,16.294015884399414,0.048919677734375,0.948406219482422,0.002674102783203125,0.049281593412160866,1420070354944.0,lat_9.3520147761,lon_16.2940166077,lon_16d2940166077_lat_9d3520147761-201501,gs://surface-water-public/data/v1/jrc/africa/GSW_lon_16d2940166077_lat_9d3520147761-201501.tif,gs://surface-water-public/data/v1/sentinel_1/africa/S1_lon_16d2940166077_lat_9d3520147761-201501.tif,medium,train
2015,8,africa_mtn,EPSG:32735,block_29_-32,group_28.68_-32.13,-32.12615966796875,28.68119239807129,0.00921630859375,0.9791908264160156,0.011592864990234377,0.0102953864261508,1438387142656.0,lat_-32.1261592225,lon_28.6811917859,lon_28d6811917859_lat_-32d1261592225-201508,gs://surface-water-public/data/v1/jrc/africa_mtn/GSW_lon_28d6811917859_lat_-32d1261592225-201508.tif,gs://surface-water-public/data/v1/sentinel_1/africa_mtn/S1_lon_28d6811917859_lat_-32d1261592225-201508.tif,low,train
2015,6,africa,EPSG:32735,block_27_-29,group_26.64_-28.81,-28.812801361083984,26.641197204589844,0.00946807861328125,0.9898452758789062,0.0006866455078125,0.01097669918090105,1433116737536.0,lat_-28.8128005633,lon_26.6411968889,lon_26d6411968889_lat_-28d8128005633-201506,gs://surface-water-public/data/v1/jrc/africa/GSW_lon_26d6411968889_lat_-28d8128005633-201506.tif,gs://surface-water-public/data/v1/sentinel_1/africa/S1_lon_26d6411968889_lat_-28d8128005633-201506.tif,low,train
